id_alg,param_1,param_2,param_3,id_dataset,param_4,mean_ind,std_ind,ind_0,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9
1,-1,0,5,1,60,0.9200000000000002,0.0748331477354788,0.9,0.9,0.9,1.0,1.0,0.8,1.0,0.9,1.0,0.8
2,-1,1,5,1,60,0.93,0.0640312423743284,0.9,0.9,1.0,1.0,1.0,0.8,0.9,0.9,1.0,0.9
3,-1,0,10,1,60,0.93,0.0640312423743284,0.9,0.9,0.9,1.0,1.0,0.8,1.0,0.9,1.0,0.9
4,-1,1,10,1,60,0.94,0.0663324958071079,0.9,0.9,1.0,1.0,1.0,0.8,1.0,0.9,1.0,0.9
5,5,0,0,1,60,0.91,0.094339811320566,1.0,0.9,0.9,1.0,1.0,0.8,0.9,0.9,1.0,0.7
6,10,0,0,1,60,0.92,0.0979795897113271,1.0,0.9,0.9,1.0,1.0,0.8,1.0,0.9,1.0,0.7
7,5,1,0,1,60,0.93,0.0640312423743284,0.9,0.9,0.9,1.0,1.0,0.8,1.0,0.9,1.0,0.9
8,10,1,0,1,60,0.91,0.0699999999999999,0.9,0.9,0.9,1.0,1.0,0.8,0.9,0.9,1.0,0.8
9,5,0,5,1,60,0.94,0.0663324958071079,1.0,0.9,0.9,1.0,1.0,0.8,1.0,0.9,1.0,0.9
10,10,0,5,1,60,0.93,0.0781024967590665,1.0,0.9,0.9,1.0,1.0,0.8,1.0,0.9,1.0,0.8
11,5,1,5,1,60,0.93,0.0640312423743284,1.0,0.9,0.9,1.0,1.0,0.8,0.9,0.9,1.0,0.9
12,10,1,5,1,60,0.9200000000000002,0.0748331477354788,0.9,0.9,0.9,1.0,1.0,0.8,1.0,0.9,1.0,0.8
1,-1,0,5,1,1,0.89,0.0830662386291807,0.9,0.9,0.9,0.9,0.7000000000000001,0.8,1.0,1.0,0.9,0.9
2,-1,1,5,1,1,0.91,0.053851648071345,0.9,0.9,0.9,0.9,0.9,0.8,1.0,1.0,0.9,0.9
3,-1,0,10,1,1,0.89,0.0830662386291807,0.9,0.9,0.9,0.9,0.7000000000000001,0.8,1.0,1.0,0.9,0.9
4,-1,1,10,1,1,0.9200000000000002,0.0599999999999999,0.9,0.9,0.9,0.9,1.0,0.8,1.0,1.0,0.9,0.9
5,5,0,0,1,1,0.9200000000000002,0.0599999999999999,0.9,1.0,0.9,0.9,1.0,0.9,0.9,1.0,0.9,0.8
6,10,0,0,1,1,0.93,0.0458257569495583,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.9,1.0
7,5,1,0,1,1,0.9200000000000002,0.0399999999999999,0.9,0.9,0.9,0.9,0.9,1.0,0.9,1.0,0.9,0.9
8,10,1,0,1,1,0.93,0.0458257569495583,0.9,1.0,0.9,0.9,0.9,0.9,1.0,1.0,0.9,0.9
9,5,0,5,1,1,0.91,0.0299999999999999,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9
10,10,0,5,1,1,0.93,0.0640312423743284,0.9,1.0,0.9,0.8,0.9,0.9,1.0,1.0,0.9,1.0
11,5,1,5,1,1,0.9200000000000002,0.0748331477354788,0.9,1.0,0.9,0.8,1.0,0.8,1.0,1.0,0.9,0.9
12,10,1,5,1,1,0.9000000000000001,0.0632455532033675,0.9,1.0,0.9,0.8,0.9,0.9,0.9,1.0,0.9,0.8
1,-1,0,5,1,2,0.94,0.0663324958071079,1.0,1.0,1.0,0.9,0.9,0.9,0.8,1.0,1.0,0.9
2,-1,1,5,1,2,0.9200000000000002,0.0748331477354788,1.0,1.0,1.0,0.9,0.9,0.9,0.8,1.0,0.8,0.9
3,-1,0,10,1,2,0.95,0.0670820393249936,1.0,1.0,1.0,0.9,0.9,0.9,0.8,1.0,1.0,1.0
4,-1,1,10,1,2,0.91,0.094339811320566,1.0,1.0,1.0,0.9,0.9,0.9,0.8,1.0,0.7,0.9
5,5,0,0,1,2,0.9200000000000002,0.0979795897113271,1.0,1.0,1.0,0.9,0.9,0.9,0.7000000000000001,1.0,0.8,1.0
6,10,0,0,1,2,0.94,0.0799999999999999,1.0,1.0,1.0,0.9,1.0,0.9,0.8,1.0,0.8,1.0
7,5,1,0,1,2,0.94,0.0663324958071079,1.0,1.0,1.0,0.9,0.9,0.9,0.8,1.0,0.9,1.0
8,10,1,0,1,2,0.93,0.0899999999999999,1.0,1.0,1.0,0.9,0.9,0.9,0.7000000000000001,1.0,0.9,1.0
9,5,0,5,1,2,0.93,0.0781024967590665,1.0,1.0,1.0,0.9,0.9,0.9,0.8,1.0,0.8,1.0
10,10,0,5,1,2,0.91,0.1135781669160054,1.0,1.0,1.0,0.9,0.9,0.9,0.7000000000000002,1.0,0.7,1.0
